Organism,Consensus optimal temperature,ARS,ATCC,BCCM,BCRC,CABRI,CCM,CCUG,CECT,CICC,DSMZ,HAMBI,JCM,KEMB,NBIMCC,NBRC,NCIMB,NCMA,NCTC,NIES,VKM,CIP
Acinetobacter pollinis,25,,25,,,,,,,,,,,,,,,,,,,
Acinetobacter populi,30,,,,,,,,,,,,,30,,,,,,,,
Acinetobacter portensis,30,,,,,,30,30,,,,,,,,,,,,,,
Acinetobacter pragensis,30,,,,,,30,30,,,,,,,,,,,,,,30
Acinetobacter proteolyticus,30,,,,,,30,30,,,,,,,,,,,,,,30
Acinetobacter pseudolwoffi,30,,,,,,,30,,,,,,,,,,,,,,
Acinetobacter pseudolwoffii,30,,,,,,30,,,,,,,,,,,,,,,30
"""Acinetobacter psychrotolerans""",30,,,,,,,,,,,,,,,,,,,,,30
Acinetobacter pullicarnis,25,,,,,,,,,,,,25,,,,,,,,,
Acinetobacter pullorum,30,,,,,,,,,,,,30,,,,,,,,,
Acinetobacter puyangensis,30,,,,,,,30,,,30,,30,,,,,,,,,30
Acinetobacter qingfengensis,30,,,,,,,30,,,30,,,28,,,,,,,,30
Acinetobacter radioresistens,30,,30,30,30,30,30,37,,,28,,30,,,30,30,,,,,30
Acinetobacter refrigeratoris,30,,,,,,,30,,,,,,30,,,,,,,,
Acinetobacter rudis,30,,,28,,,,30,30,,30,,,,,,,,,,,30
Acinetobacter schindleri,28,,,28,,28,30,33,,,28,,,,,35,,,,,28,30
Acinetobacter seifertii,29,28,,28,,,30,44,,,37,,,,,,,,,,,30
Acinetobacter seohaensis,30,,,,,,,33,,,30,,,30,,,,,,,,30
Acinetobacter septicus,33,,,,,,,30,,,37,,,,,,,,,,,
Acinetobacter shaoyimingii,28,,,,,,,,,,,,28,,,,,,,,,
Acinetobacter sichuanensis,30,,,,,,,30,,,,,,30,,,,,,,,
Acinetobacter soli,30,,,,,30,,33,,,28,,30,,,,,,,,,30
Acinetobacter spec.,30,,,,,30,,,,,,,,,,,,,,,,
Acinetobacter species,28,28,,,,,,,,,,,,,,,,,,,,
Acinetobacter stercoris,32,,,37,,,28,,,,,,,,,,,,,,,
Acinetobacter tandoii,30,,,,,30,30,37,,,30,,,,,,,,,,,30
