Organism,Consensus optimal temperature,ARS,ATCC,BCCM,BCRC,CABRI,CCM,CCUG,CECT,CICC,DSMZ,HAMBI,JCM,KEMB,NBIMCC,NBRC,NCIMB,NCMA,NCTC,NIES,VKM,CIP
Acinetobacter tjernbergiae,30,28,,,,30,30,30,,,30,,,,,,,,,,,30
Acinetobacter towneri,30,,,,,30,30,30,,,30,,,,,,,,,,,30
Acinetobacter ursingii,28,,,28,28,28,30,37,,,28,,,,,35,,,,,,30
Acinetobacter variabilis,30,,,,,,30,30,,,30,,,,,,,,,,,30
Acinetobacter venetianus,30,28,30,30,30,30,,33,,,28,,,,,35,,,,,,30
Acinetobacter vivianii,30,30,,,,,30,30,,,,,,,,,,,,,,30
Acinetobacter wanghuae,28,,,,,,,,,,,,28,,,,,,,,,
Acinetobacter wuhouensis,30,,,,,,,30,,,,,,30,,,,,,,,
Acodovorax novel,30,,,,,,,30,,,,,,,,,,,,,,
Acremonium antarcticum,25,25,,,,,,,,,,,,,,,,,,,,
Acremonium atrogriseum,22,,,,,,,,,,24,,20,,,,,,,,,
Acremonium bacillisporum,25,,,,,,,30,,,,,20,,,,,,,,,
Acremonium berkeleyanum,20,,,,,,,,,,,,20,,,,,,,,,
Acremonium butyri,25,25,,,,,,,,,,,,,,,,,,,,
Acremonium cereale,20,,,,,,,,,,,,20,,,,,,,,,
Acremonium chrysogenum,22,,,,,,,,,,24,,20,,,,,,,,,
Acremonium curvulum,24,,,,,,,,,,24,,,,,,,,,,,
Acremonium egyptiacum,20,,,,,,,,,,,,20,,,,,,,,,
Acremonium exuviarum,23,,,,,,,,,,23,,,,,,,,,,,
Acremonium furcatum,20,,,,,,,,,,,,20,,,,,,,,,
Acremonium fusidioides,23,,,,,,,,,,26,,20,,,,,,,,,
Acremonium glaucum,20,,,,,,,,,,,,20,,,,,,,,,
Acremonium hyalinulum,20,,,,,,,,,,,,20,,,,,,,,,
Acremonium implicatum,22,,,,,,,,,25,,,20,,,,,,,,,
Acremonium longisporum,20,,,,,,,,,,,,20,,,,,,,,,
Acremonium luzulae,20,,,,,,,,,,,,20,,,,,,,,,
Acremonium murorum,24,,,,,,,,,,24,,,,,,,,,,,
Acremonium persicinum,23,25,,,,,,,,,24,,20,,,,,,,,,
Acremonium polychromum,20,,,,,,,,,,,,20,,,,,,,,,
Acremonium potronii,20,,,,,,,,,,,,20,,,,,,,,,
Acremonium restrictum,20,,,,,,,,,,,,20,,,,,,,,,
Acremonium roseolum,20,,,,,,,,,,,,20,,,,,,,,,
Acremonium rutilum,20,,,,,,,,,,,,20,,,,,,,,,
Acremonium sclerotigenum,20,,,,,,,,,,,,20,,,,,,,,,
Acremonium strictum,21,,,,,,,,,,22,,20,,,,,,,,,
Acremonium tubakii,20,,,,,,,,,,,,20,,,,,,,,,
Acremonium zeae,25,25,,,,,,,,,,,,,,,,,,,,
Acremonium zonatum,32,,,,,,,,,,45,,20,,,,,,,,,
Acrocarpospora corrugata,28,,,,,26,,,,,28,,28,,,28,,,,,,
Acrocarpospora macrocephala,28,,,,,28,,,,,28,,28,,,28,,,,,,
Acrocarpospora phusangensis,28,,,,,,,,,,28,,,,,28,,,,,,
Acrocarpospora pleiomorpha,28,,,,,28,,,,,28,,28,,,28,,,,,,
Acrostalagmus annulatus,20,,,,,,,,,,,,20,,,,,,,,,
Actibacter haliotis,25,,,,,,,,,,,,25,,,,,,,,,
Actibacterium atlanticum,28,,,28,,,,,,,,,,,,,,,,,,
Actibacterium mucosum,26,,,,,,,,26,,30,,,26,,,,,,,,
Actibacterium naphthalenivorans,30,,,,,,,,,,30,,30,,,,,,,,,
Actibacterium pelagium,30,,,,,,,,,,30,,,30,,,,,,,,
Actibacterium ureilyticum,29,,,,28,,,,,,,,30,,,,,,,,,
Actibacter sediminis,33,,,,,,,,,,,,30,37,,,,,,,,
Actimicrobium antarcticum,15,,,,,,,,,,,,15,15,,,,,,,,
Actimomadura scrupuli,30,,,,,,,,,,,,,30,,,,,,,,
Actinacidiphilus wushanense,28,,,,,28,,,,,28,,,,,,,,,,,
Actinoacidiphilus directus,28,,,,,28,,,,,28,,,,,,,,,,,
Actinoacidiphilus flexuosus,28,,,,,28,,,,,28,,,,,,,,,,,
Actinoacidiphilus helicoides,28,,,,,28,,,,,28,,,,,,,,,,,
Actinoallomurus acaciae,28,28,,,,,,,,,28,,28,,,28,,,,,,
Actinoallomurus acanthiterrae,28,,,,,,,,,,28,,28,,,,,,,,,
Actinoallomurus amamiensis,28,,,,,,,,,,28,,,28,,28,,,,,,
Actinoallomurus bryophytorum,28,,,,,,,,,,28,,28,,,,,,,,,
Actinoallomurus caesius,28,,,,,,,,,,28,,,28,,28,,,,,,
Actinoallomurus coprocola,28,,,,,,,,,,28,,,28,,28,,,,,,
Actinoallomurus fulvus,28,,,,,,,,,,28,,,28,,28,,,,,,
Actinoallomurus iriomotensis,28,,,,,,,,,,28,,,28,,28,,,,,,
Actinoallomurus liliacearum,28,,,,,,,,,,28,,28,,,28,,,,,,
Actinoallomurus luridus,28,,,,,,,,,,28,,,28,,28,,,,,,
Actinoallomurus oryzae,28,,,,,,,,,,28,,28,,,28,,,,,,
Actinoallomurus purpureus,28,,,,,,,,,,28,,,28,,28,,,,,,
Actinoallomurus radicium,28,,,,,,,,,,28,,28,,,28,,,,,,
Actinoallomurus spadix,37,28,,,,37,,,,,37,,37,37,,37,,,,,,37
Actinoallomurus vinaceus,28,,,,,,,,,,28,,28,,,28,,,,,,
Actinoallomurus yoronensis,28,,,,,,,,,,28,,,28,,28,,,,,,
Actinoalloteichus cyanogriseus,28,28,,28,,29,,,,,28,,28,,,28,,,,,28,30
Actinoalloteichus fjordicus,28,,,,,,,,,,28,,,,,,,,,,,
Actinoalloteichus hoggarensis,29,,,,,,,,30,,28,,,,,,,,,,,
Actinoalloteichus hymeniacidonis,28,28,,,,30,,,,,28,,28,,,,,,,,,30
Actinoalloteichus nanshanensis,28,,,,,,,,,,28,,28,,,28,,,,,,
Actinoalloteichus spitiensis,29,,,,,30,,,,,30,,28,,,28,,,,,,
Actinobacillus actinoides,28,28,,,,,,,,,,,,,,,,,,,,
Actinobacillus anseriformium,37,,,,,,37,37,,,37,,,,,,,,,,,
Actinobacillus arthritidis,37,,,,,37,,37,,,37,,,,,,,,,,,37
Actinobacillus capsulatus,37,,37,,,37,,37,,,37,,,,,,,,37,,,37
Actinobacillus delphinicola,37,,,,,37,,37,,,37,,,,,,,,48,,,37
Actinobacillus equuli,37,,,30,,37,,37,,,37,,37,,37,,,,37,,,37
Actinobacillus genomospecies,37,,,,,,,,,,37,,,,,,,,,,,
Actinobacillus gsp,37,,,,,,,37,,,,,,,,,,,,,,
Actinobacillus haemolyticus,37,,,,,,,,,,,,,,,,,,37,,,
Actinobacillus hominis,37,,,,,37,,33,,,37,,,,,,,,37,,,37
Actinobacillus indolicus,37,,,,,37,,,,,37,,,,,,,,,,,37
Actinobacillus lignieresii,37,,37,37,,37,,37,,,37,,37,,37,,,,37,,,37
Actinobacillus minor,37,,,,,37,,,,,,,,,,,,,,,,37
Actinobacillus muris,37,,37,,,37,,37,,,,,,,,,,,,,,37
Actinobacillus pleuropneumoniae,37,,37,,,37,37,37,37,,37,,,,,,,,37,,,37
Actinobacillus porcinus,37,,,,,37,,37,,,37,,,,,,,,,,,37
Actinobacillus rossii,37,,,,,37,,37,,,37,,,,,,,,37,,,37
Actinobacillus salpingitidis,37,,,,,,,,,,,,,,,,,,37,,,
Actinobacillus scotiae,37,,,,,37,,37,,,37,,,,,,,,,,,37
Actinobacillus seminis,37,,,,,37,,37,,,37,,,,,,,,37,,,37
Actinobacillus species,37,,,,,,,37,,,,,,,,,,,,,,
Actinobacillus succinogenes,30,,,,37,30,,33,,30,37,,,,,,,,,,,30
Actinobacillus suis,37,,,,,37,37,37,37,,37,,37,,,,,,37,,,37
Actinobacillus ureae,37,,,,,37,37,37,,,37,,,,,,,,37,,,37
Actinobacillus vicugnae,37,,,37,,,,,,,,,,,,,,,37,,,
Actinobaculum lemanensis,37,,,,,,,,,,,,,,,,,,,,,37
Actinobaculum massiliense,37,,,,,37,,37,,,37,,,,,,,,,,,
Actinobaculum schaalii,37,,,,,37,,,,,,,,,,,,,,,,
Actinobaculum suis,37,,,37,37,37,,37,,,37,,,,,,,,37,,,37
Actinobaculum timonae,37,,,,,,,,,,,,,,,,,,,,,37
Actinobaculum urinale,37,,,,,37,,,,,,,,,,,,,,,,
Actinocatenispora rupis,28,,,,,,,,,,28,,28,,,28,,,,,,
Actinocatenispora sera,28,28,,,,,,,,,28,,28,,,28,,,,,,
Actinocatenispora silicis,30,30,,,,,,,,,,,,,,,,,,,,
Actinocatenispora thailandica,28,,,,,30,,,,,28,,28,,,28,,,,,,30
Actinocorallia aurantiaca,28,,,,,32,,,,,28,,28,,,28,,,,,,
Actinocorallia aurea,28,,,,,,,,,,28,,28,,,28,,,,,,
Actinocorallia caverna,28,,,,,,,,,,,,,,,28,,,,,,
Actinocorallia cavernae,28,,,,,28,,,,,28,,28,,,,,,,,,
Actinocorallia glomerata,28,,,,,28,,,,,28,,28,,,28,,,,,,
Actinocorallia herbida,28,,28,,,26,,,,,28,,28,,,28,,,,,28,
Actinocorallia lasiicapitis,28,,,,,,,,,,28,,28,,,,,,,,,
Actinocorallia libanotica,28,,26,,,28,,,,,28,,28,28,,28,,,,,28,
Actinocorallia longicatena,28,,,,,29,,,,,28,,28,,,28,,,,,,30
Actinocorallia populi,28,,,,,,,,,,,,28,,,,,,,,,
Actinocorellia cavernae,28,,,,,,,,,,,,,28,,,,,,,,
Actinocrinis puniceicyclus,20,,,,,,,,,,20,,,,,,,,,,,
Actinocrispum wychmicini,28,,,,,,,,,,28,,,,,28,,,,,,
Actinokineopora xiongansis,28,,,,,,,,,,,,,28,,,,,,,,
Actinokineospora acnipugnans,28,,,,,,,,,,,,28,,,,,,,,,
Actinokineospora alba,28,,,,,,30,,,,28,,28,,,28,,,,,,
Actinokineospora auranticolor,28,,,,,29,,,,,28,,28,,,28,,,,,,30
Actinokineospora baliensis,28,,,,,,,,,,28,,,,,28,,,,,,
Actinokineospora bangkokensis,28,,,,,,,,,,28,,,,,28,,,,,,
Actinokineospora cianjurensis,28,,,,,,,,,,28,,,,,28,,,,,,
Actinokineospora cibodasensis,28,,,,,,,,,,28,,,,,28,,,,,,
Actinokineospora diospyrosa,28,26,,,,29,,,,,28,,28,28,,26,,,,,28,
Actinokineospora enzanensis,28,,,,,29,,,,,28,,28,,,28,,,,,,30
Actinokineospora fastidiosa,28,28,26,,,,,,,,28,,28,,,28,,,,,36,
Actinokineospora globicatena,28,28,,,,28,,,,,28,,28,28,,28,,,,,28,
Actinokineospora guangxiensis,28,,,,,,,,,,28,,28,,,,,,,,,
Actinokineospora inagensis,28,26,,,,29,,,,,28,,28,28,,26,,,,,28,
Actinokineospora iranica,30,,,,,,,,30,,,,,,,,,,,,,
Actinokineospora mzabensis,29,,,,,,,,30,,28,,,,,,,,,,,
Actinokineospora pegani,28,,,,,,,,,,,,,28,,,,,,,,
Actinokineospora riparia,28,28,27,,,26,,,,,28,,28,,,28,,,,,28,
Actinokineospora soli,37,,,,,,,,,,28,,37,,,37,,,,,,
Actinokineospora spheciospongiae,28,,,28,,,30,,,,28,,28,,,,,,,,,
Actinokineospora terrae,27,26,,,,29,,,,,28,,28,28,,26,,,,,26,
Actinomadura adrarensis,29,,,,,,,,30,,,,28,,,,,,,,,
Actinomadura alba,28,,,,,29,,,,,28,,28,,,28,,,,,,30
Actinomadura algeriensis,29,,,,,,,,30,,28,,,,,,,,,,,
Actinomadura alkaliterrae,28,,,,,,,,,,28,,,28,,,,,,,,
Actinomadura apis,28,,,,,,,,,,28,,28,,,,,,,,,
Actinomadura atramentaria,28,,,,,27,,,,,28,,28,28,,28,,,,,,30
Actinomadura bangladeshensis,28,,,,,,,,37,,28,,28,,,,,,,,,
Actinomadura barringtoniae,28,,,,,,,,,,28,,,,,28,,,,,,
Actinomadura brunnea,28,,28,,,,,,,,,,,,,,,,,,,
Actinomadura catellatispora,28,,,,,29,,,,,28,,28,28,,28,,,,,,30
Actinomadura chibensis,32,,,,,37,,,,,37,,28,,,28,,,,,,
Actinomadura chokoriensis,28,,,,,,,,,,28,,28,,,,,,,,,
Actinomadura citrea,28,28,,,,26,,,,,28,,28,28,28,28,,,,,28,
Actinomadura coerulea,28,,28,,,28,,,,,28,,28,,,28,,,,,28,
Actinomadura craniellae,28,,,,,,,,,,28,,,,,,,,,,,
Actinomadura cremea,28,28,26,,,28,,,,,28,,28,,,28,,,,,28,
Actinomadura darangshiensis,29,,,,,,,,,,28,,,30,,,,,,,,
Actinomadura decatromicini,28,,,,,,,,,,,,28,29,,,,,,,,
Actinomadura deserti,28,,,,,,,,,,,,28,28,,,,,,,,
Actinomadura echinospora,37,,,,,37,,,,,,,,37,,,,,,,,
Actinomadura fibrosa,28,,,28,,32,,,,,28,,28,,,,,,,,,
Actinomadura flavalba,28,,,,,,,,,,28,,28,,,,,,,,,
Actinomadura formosensis,28,,30,28,,27,,,,,37,,28,28,,28,,,,,28,30
Actinomadura fulva,26,,26,,,,,,,,,,,,,,,,,,,
Actinomadura fulvescens,28,28,,,,37,,,,,37,,28,28,,28,,,,,28,
Actinomadura gamaensis,28,,,,,,,,,,28,,28,,,,,,,,,
Actinomadura geliboluensis,28,,,,,,,,,,28,,28,28,,,,,,,,
Actinomadura glauciflava,28,,,28,,29,,,,,28,,28,28,,28,,,,,28,30
Actinomadura hallaensis,30,30,,,,,,,,,,,,,,,,,,,,
Actinomadura hallensis,28,,,,,28,,,,,28,,28,,,28,,,,,,
Actinomadura hankyongensis,28,,,28,,,,,,,,,,,,,,,,,,
Actinomadura harenae,28,,,,,,,,,,,,28,,,,,,,,,
Actinomadura helvata,37,,,,,37,,,,,,,,,,,,,,,,
Actinomadura hibisca,28,,28,,,26,,,,,28,,28,,,28,,,,,,
Actinomadura jiaoheensis,28,,,,,,,,,,28,,28,,,,,,,,,
Actinomadura keratinilytica,45,,,,,,,43,,,45,,45,,,45,,,,,,
Actinomadura kijaniata,28,28,,,,28,,,,,28,,28,28,,30,,,,,28,
Actinomadura latina,28,,,,,32,,,,,28,,28,,,28,,,,,,
Actinomadura libanotica,29,28,,,,,30,,,,,,,,,,,,,,,
Actinomadura litoris,28,,,,,,,,,,,,28,,,,,,,,,
Actinomadura livida,28,,28,,,28,,,,,28,,28,,,37,,,,,28,
Actinomadura logoneensis,28,,,,,,,,,,28,,,,,,,,,,,
Actinomadura luteofluorescens,28,,,,,31,,,37,,28,26,28,,,28,,,,,28,30
Actinomadura macra,28,,,,,29,,,,,28,,28,,,28,,,,,,30
Actinomadura madurae,37,28,,,,37,30,,37,,28,,37,,37,25,,,37,,37,30
Actinomadura maheshkhaliensis,28,,,,,,,,,,,,28,,,,,,,,,
Actinomadura melliaura,26,,26,,,,,,,,,,,,,,,,,,,
Actinomadura meridiana,28,,,,,,,,,,28,,28,,,,,,,,,
Actinomadura mexicana,28,,,28,,29,,,,,28,,28,,,,,,,,,30
Actinomadura meyerae,28,,,,,29,,37,,,28,,28,,,,,,,,,30
Actinomadura meyerii,28,28,,,,,,,,,,,,,,,,,,,,
Actinomadura miaoliensis,52,,,52,,52,,,,,,,45,,,,,,,,,
Actinomadura montaniterrae,28,,,28,,,,,,,,,28,28,,,,,,,,
Actinomadura namibiensis,28,28,,,,29,,,,,28,,28,28,,,,,,,,30
Actinomadura napierensis,28,28,,,,29,,,,,28,,28,,,28,,,,,,
Actinomadura nitritigenes,28,,,,,28,,37,,,28,,28,,,28,,,,,,
Actinomadura nitritigens,28,,,,,28,,,,,,,,,,,,,,,,
Actinomadura ochracea,28,28,,,,,,,,,,,,,,,,,,,,
Actinomadura oligospora,28,,,,,28,,,,,28,,28,,,28,,,,,,
Actinomadura pelletieri,32,37,30,,,37,30,,,,28,,28,28,,28,,,37,,37,30
Actinomadura physcomitrii,28,,,,,,,,,,,,28,,,,,,,,,
Actinomadura pusilla,37,,,,,37,,,,,,,,,,,,,,,,
Actinomadura rayongensis,28,,,,,,,,,,28,,28,,,,,,,,,
Actinomadura rhizosphaerae,30,,,,,,,,,,28,,,30,,30,,,,,,
Actinomadura rifamycini,28,,,,,,,,,,28,,28,,,28,,,,,28,
Actinomadura roseirufa,27,,26,28,,,,,,,,,,,,,,,,,,
Actinomadura roseorufa,26,,26,,,,,,,,,,,,,,,,,,,
Actinomadura roseoviolacea,37,,,,,37,,,,,,,,,,,,,,,,
Actinomadura rubra,37,,,,,37,,,,,,,,,,,,,,,,
Actinomadura rubrisoli,28,,,,,,,,,,,,28,,,,,,,,,
Actinomadura rubrobrunea,55,,55,,,55,,,,,,,,,,55,,,,,55,55
Actinomadura rudentifomis,30,30,,,,,,,,,,,,,,,,,,,,
Actinomadura rudentiformis,28,,,,,28,,,,,28,,28,,,,,,,,,
Actinomadura rugatobispora,28,28,,,,29,,,,,28,,28,,,28,,,,,,30
Actinomadura rupiterrae,28,,,,,,,,,,28,,,,,,,,,,,
Actinomadura scrupuli,28,,,,,,,,,,28,,,,,,,,,,,
Actinomadura sediminis,28,,,,,,,,,,,,28,,,,,,,,,
Actinomadura spadix,30,,,,,30,,,,,,,,,,,,,,,,
Actinomadura species,28,28,,,,,,,,,,,,,,,,,,,,
Actinomadura sporangiiformans,28,,,,,,,,,,28,,28,,,,,,,,,
Actinomadura sputi,32,,,,,,,37,,,28,,,,,,,,,,,
Actinomadura syzygii,28,,,,,,,,,,28,,,,,28,,,,,,
Actinomadura umbrina,28,28,26,,,33,,,,,,,,28,,,,,,,28,
Actinomadura uncinata,28,,,,,,,,,,,,,,,,,,,,28,
Actinomadura verrucosospora,37,37,26,,,37,30,,,,32,,35,,,37,,,,,37,37
Actinomadura vinacea,28,,28,,,29,,,,,28,,28,37,,37,,,,,,30
Actinomadura viridilutea,50,,55,,,45,,,,,55,,50,,,45,,,,,,
Actinomadura viridis,28,28,,,,30,,,,,32,,28,,,28,,,,,28,30
Actinomadura xylanilytica,28,,,,,,,,,,28,,28,,,28,,,,,,
Actinomadura yumaensis,37,,,,,37,,,,,37,,37,,37,37,,,,,,37
Actinomarinicola tropica,30,,,,,,,,,,,,,30,,,,,,,,
Actinomodura meridiana,30,,,,,,,,,,,,,30,,,,,,,,
Actinomodura rupiterrae,30,,,,,,,,,,,,,30,,,,,,,,
Actinomucor elegans,24,24,,,,,,,,28,24,,24,,,,,,,,,
Actinomucor repens,24,24,,,,,,,,,,,,,,,,,,,,
Actinomyces albidus,29,,,,,,,,,29,,,,,,,,,,,,
Actinomyces bernardiae,37,,,,,37,,,,,,,,,,,,,,,,37
Actinomyces bovis,37,,,,,37,,37,,,37,,,,,,,,37,,,37
Actinomyces bowdenii,37,,,37,,37,,37,,,37,,,37,,,,,,,,37
Actinomyces canis,37,,,,,37,,,,,,,,,,,,,,,,37
Actinomyces cardiffensis,37,,,,,37,,,,,,,,,,,,,37,,,37
Actinomyces catuli,37,,,,,37,,37,,,37,,,,,,,,,,,37
Actinomyces coleocanis,37,,,,,37,,,,,,,,,,,,,,,,
Actinomyces dentalis,37,,,,,37,,37,,,37,,,37,,,,,,,,37
Actinomyces denticolens,37,,36,,,37,,37,,,37,,,,,,,,42,,,37
Actinomyces europaeus,37,,,37,,37,,37,,,,,,,,,,,37,,,
Actinomyces faecalis,37,,,,,,,,,,,,37,,,,,,,,,
Actinomyces flavescens,24,,,,,24,,,,,,,,,,,,,,,,
Actinomyces funkei,37,,,,,37,,,,,,,,37,,,,,37,,,37
Actinomyces gaoshouyii,37,,,,,,,,,,37,,,,,,,,,,,
Actinomyces georgiae,37,,,,,37,,,,,,,,37,,,,,,,,37
Actinomyces gerencseriae,37,,,,,37,,37,,,37,,37,,,,,,,,,37
Actinomyces graevenitzii,37,,,37,,37,37,37,,,37,,,,,,,,37,,,37
Actinomyces haliotis,33,,,,,,,,,,37,,30,,,,,,,,,
Actinomyces hongkongensis,37,,,37,,37,,,,,,,,,,,,,,,,
Actinomyces hordeovulneris,37,,37,,,37,,,,,,,,,,,,,,,,37
Actinomyces howellii,44,,36,,,,,37,,,,,,,,,,,59,,,
Actinomyces hyovaginalis,37,,,,,37,,,,,,,,,,,,,,,,37
Actinomyces israelii,37,,,,,37,,37,,,37,,37,37,,,,,37,,,37
Actinomyces johnsonii,37,,,,,,,,,,37,,37,37,,,,,,,,
Actinomyces lingnae,37,,,,,,,37,,,,,,,,,,,,,,37
Actinomyces marimammalium,37,,,,,37,,,,,,,,,,,,,,,,37
Actinomyces marmotae,37,,,,,,,,,,,,37,,,,,,,,,
Actinomyces marseillensis,37,,,,,,,37,,,,,,,,,,,,,,
Actinomyces massiliensis,37,,,,,,,37,,,37,,37,37,,,,,,,,30
Actinomyces mediterranea,37,,,,,,,37,,,,,,,,,,,,,,
Actinomyces meyeri,37,,37,37,,37,,,,,,,,37,,,,,37,,,37
Actinomyces minihominis,37,,,,,,,37,,,,,,,,,,,,,,
Actinomyces naeslundii,37,,,,,37,,37,37,,37,,37,,,,,,37,,,37
Actinomyces naeslundi/oris,37,,,,,,,37,,,,,,,,,,,,,,
Actinomyces nasicola,37,,,,,37,,,,,,,,,,,,,,,,37
Actinomyces neuii,37,,,37,,37,,,,,,,,,,,,,,,,37
Actinomyces novel,37,,,,,,,37,,,,,,,,,,,,,,
Actinomyces odonlyticus,37,,,,,,,,,,,,,,,,,,,,,37
Actinomyces odontolyticus,37,,,,,37,,,37,,,,,37,,,,,37,,,37
Actinomyces oralis,37,,,,,,,,,,37,,,,,,,,,,,
Actinomyces oricola,37,,,,,37,,37,,,37,,37,37,,,,,,,,37
Actinomyces oris,37,,37,,,,,37,,,37,,37,,,,,,,,,37
Actinomyces phage,37,,,,,,,,,,37,,,,,,,,,,,
Actinomyces polynesiensis,37,,,,,,,,,,37,,,,,,,,,,,
Actinomyces procaprae,37,,,,,,,,,,,,37,,,,,,,,,
Actinomyces pyogenes,37,,,,,,,,,,,,,,37,,,,,,,
Actinomyces qiguomingii,37,,,,,,,,,,37,,,,,,,,,,,
Actinomyces radicidentis,37,,,,,37,,37,,,37,,,,,,,,,,,37
Actinomyces radingae,37,,,37,,37,,,,,,,,37,,,,,37,,,37
Actinomyces respiraculi,37,,,,,,,,,,,,37,,,,,,,,,
Actinomyces ruminicola,42,,,,,,,,,,37,,46,,,,,,,,,45
Actinomyces schaalii,37,,,,,,,,,,,,,,,,,,,,,37
Actinomyces slackii,37,,,,,37,,,,,,,,,,,,,42,,,37
Actinomyces species,37,,,,,,,37,,,,,,,,,,,,,,
Actinomyces suimastitidis,37,,,,,37,,,,,,,,,,,,,,,,37
Actinomyces timonensis,37,,,,,,,37,,,37,,,37,,,,,,,,
Actinomyces trachealis,37,,,,,,,,,,,,37,,,,,,,,,
Actinomyces turicensis,37,,35,37,,37,,,,,,,,,,,,,37,,,37
Actinomyces urogenitalis,37,,,,,37,,37,,,37,,,37,,,,,37,,,37
Actinomyces vaccimaxillae,37,,,,,37,,,,,,,,,,,,,,,,37
Actinomyces viscosus,37,,37,,,37,,37,37,,37,,37,,37,,,,37,,,37
Actinomyces vulturis,37,,,,,,,,,,37,,,,,,,,,,,
Actinomyces weissii,37,,,37,,,37,37,,,37,,,,,,,,,,,37
Actinomyces wuliandei,37,,,,,,,,,,,,37,,,,,,,,,
Actinomycetospora atypica,28,,,,,,,,,,28,,28,,,,,,,,,
Actinomycetospora callitridis,27,27,,,,,,,,,28,,,,,,,,,,,
Actinomycetospora chiangmaiensis,28,,,28,,,,,,,28,,28,,,28,,,,,,
Actinomycetospora chibensis,28,,,,,,,,,,28,,28,,,28,,,,,,
Actinomycetospora chlora,28,,,,,,,,,,28,,28,,,28,,,,,,
Actinomycetospora cinnamomea,28,,,,,,,,,,28,,28,,,28,,,,,,
Actinomycetospora corticicola,28,,,,,,,,,,28,,28,,,28,,,,,,
Actinomycetospora endophytica,28,,,,,,,,,,,,,,,28,,,,,,
Actinomycetospora iriomotensis,28,,,,,,,,,,28,,,28,,28,,,,,,
Actinomycetospora lutea,28,,,,,,,,,,28,,28,,,28,,,,,,
Actinomycetospora rhizophila,28,,,,,,,,,,28,,28,,,,,,,,,
Actinomycetospora rishiriensis,28,,,,,,,,,,28,,,28,,28,,,,,,
Actinomycetospora straminea,28,,,,,,,,,,28,,28,,,28,,,,,,
Actinomycetospora succinea,28,,,,,,,,,,28,,28,,,28,,,,,,
Actinophytocola algeriensis,29,,,,,,,,30,,28,,,,,,,,,,,
Actinophytocola burenkhanensis,28,,,,,,,,,,28,,,,,28,,,,,,
Actinophytocola corallina,28,,,,,,,,,,28,,,,,28,,,,,,
Actinophytocola gilvus,28,,,,,,,,,,28,,,28,,28,,,,,,
Actinophytocola glycyrrhizae,28,,,,,,,,,,,,28,28,,,,,,,,
Actinophytocola oryzae,28,,,,,,,,,,28,,28,,,28,,,,,,
Actinophytocola sediminis,28,,,,,,,,,,28,,28,,,,,,,,,
Actinophytocola timorensis,28,,,,,,,,,,28,,,,,28,,,,,,
Actinophytocola xanthii,28,,,,,,,,,,28,,,28,,,,,,,,
Actinophytocola xinjiangensis,28,,,,,,,,,,28,,28,,,28,,,,,,
Actinoplanes abujensis,28,,,,,,,,,,28,,28,28,,28,,,,,,
Actinoplanes arizonaensis,28,28,26,,,,,,,,,,28,,,28,,,,,,
Actinoplanes atraurantiacus,28,,,,,,,,,,28,,28,,,,,,,,,
Actinoplanes auranticolor,28,28,,,,26,,,,,28,,28,,,28,,,,,28,
Actinoplanes awajinensis,28,28,26,,,,,,,,,,28,,,28,,,,,,
Actinoplanes bogorensis,28,,,,,,,,,,,,,,,28,,,,,,
Actinoplanes brasiliensis,28,28,,,,28,,,,,28,,28,28,,28,,,,,28,
Actinoplanes campanulatus,28,28,,,,26,,,30,,28,,28,28,,28,,,,,28,
Actinoplanes capillaceus,28,,,,,28,,,,,28,,28,,,28,,,,,,
Actinoplanes cibodasensis,28,,,,,,,,,,,,,,,28,,,,,,
Actinoplanes consettensis,28,,,,,26,,,,,28,,28,28,,28,,,,,,
Actinoplanes couchii,28,,,,,29,,30,,,28,,28,,,28,,,,,,30
Actinoplanes cyaneus,28,,,,,26,,,,,28,,28,28,,28,25,,,,28,
Actinoplanes cylindrica,25,,,,,25,,,,,,,,,,,25,,,,,
Actinoplanes deccanensis,28,28,26,,,25,,,,,28,,28,28,,28,25,,,,,
Actinoplanes derwentensis,28,28,27,,,26,,,,,28,,28,28,,25,,,,,,
Actinoplanes deserti,28,,,,,,,,,,28,,28,28,,,,,,,,
Actinoplanes digitatis,28,28,,,,26,,,,,28,,28,28,,28,,,,,28,
Actinoplanes durhamensis,28,28,26,,,26,,,,,28,,28,28,,28,,,,,,
Actinoplanes ferrugineus,28,28,,,,26,,,,,28,,28,28,,28,25,,,,,
Actinoplanes friuliensis,28,,,,,,,30,,,28,,28,,,,,,,,,
Actinoplanes garbadinensis,28,28,26,,,26,,,,,28,,28,,,28,25,,,,,
Actinoplanes globisporus,28,,,,,28,,,,,28,,28,,,28,25,,,,,
Actinoplanes gratiae,28,,,,,28,,,,,28,,,,,,,,,,,
Actinoplanes hulinensis,28,,,,,,,,,,28,,,,,,,,,,,
Actinoplanes humidus,28,28,26,,,26,,,,,28,,28,28,,28,,,,,,
Actinoplanes ianthinogenes,28,28,,,,25,,,,,28,,28,28,,28,25,,,,,
Actinoplanes italicus,28,28,,,,26,25,,,,28,,28,28,28,28,25,,,,,
Actinoplanes kinshanensis,28,28,,,,25,,,,,,,28,28,,28,25,,,,,
Actinoplanes kunmingensis,25,,,,,25,,,,,,,,,,,,,,,,
Actinoplanes lichenicola,28,,,,,,,,,,,,28,,,,,,,,,
